transaction_id,user_id,product_id,quantity,price,date
70,101,6,4,73,2024-03-28
71,103,17,3,781,2024-03-17
72,112,3,5,673,2024-03-21
73,115,18,1,176,2024-03-01
74,107,2,2,712,2024-03-18
75,117,6,3,724,2024-03-10
76,109,6,1,226,2024-03-02
77,111,3,3,847,2024-03-30
78,102,8,1,940,2024-03-12
79,107,18,5,728,2024-03-03
80,111,18,3,617,2024-03-02
81,109,16,5,76,2024-03-02
82,118,14,5,680,2024-03-18
83,118,14,1,74,2024-03-14
84,116,6,5,301,2024-03-07
85,119,11,5,225,2024-03-02
86,119,11,1,553,2024-03-14
87,106,18,2,398,2024-03-03
88,109,11,3,150,2024-03-15
89,116,10,3,852,2024-03-23
90,101,18,3,80,2024-03-28
91,115,12,3,75,2024-03-30
92,111,9,2,175,2024-03-27
93,106,16,4,687,2024-03-16
94,120,1,3,207,2024-03-28
95,109,13,4,801,2024-03-01
96,113,9,3,947,2024-03-27
97,110,9,3,758,2024-03-21
98,116,8,1,897,2024-03-30
99,102,20,2,910,2024-03-15
100,119,16,5,158,2024-03-21
101,106,14,4,652,2024-03-17
102,102,3,1,982,2024-03-27
103,106,5,2,53,2024-03-12
104,117,18,4,182,2024-03-27
105,109,10,4,181,2024-03-05
106,112,10,5,605,2024-03-27
107,115,16,1,514,2024-03-12
108,101,1,4,983,2024-03-15
109,104,7,4,716,2024-03-05
110,103,10,1,705,2024-03-11
111,113,18,1,10,2024-03-09
112,112,8,1,248,2024-03-20
113,110,17,3,816,2024-03-02
114,118,6,3,935,2024-03-28
115,111,18,4,217,2024-03-12
116,113,5,3,120,2024-03-24
117,118,8,5,419,2024-03-14
118,113,4,2,866,2024-03-22
119,120,20,5,499,2024-03-21
120,109,19,3,262,2024-03-04
121,112,2,1,855,2024-03-29
122,103,15,3,39,2024-03-07
123,104,20,3,414,2024-03-10
124,113,17,3,924,2024-03-26
125,107,13,3,256,2024-03-13
126,105,18,5,265,2024-03-06
127,107,19,5,872,2024-03-03
128,108,17,1,632,2024-03-30
129,107,13,4,832,2024-03-05
130,101,7,4,53,2024-03-01
131,104,4,5,856,2024-03-16
132,101,18,3,927,2024-03-23
133,105,8,1,748,2024-03-07
134,107,18,1,363,2024-03-30
135,105,7,1,123,2024-03-09
136,109,11,4,294,2024-03-10
137,118,4,5,879,2024-03-21
138,106,4,3,44,2024-03-11
139,104,16,5,964,2024-03-29
140,117,20,4,997,2024-03-08
141,105,2,4,685,2024-03-23
142,101,9,3,408,2024-03-18
143,105,10,3,799,2024-03-06
144,116,13,3,39,2024-03-18
145,113,6,5,864,2024-03-12
146,104,12,4,591,2024-03-16
147,103,12,2,78,2024-03-20
148,106,15,4,477,2024-03-07
149,114,18,5,974,2024-03-15
150,107,9,1,566,2024-03-21
151,120,14,1,842,2024-03-30
152,105,6,1,261,2024-03-25
153,110,11,2,421,2024-03-16
154,107,19,4,249,2024-03-21
155,113,11,5,447,2024-03-06
156,111,16,1,235,2024-03-03
157,113,16,2,581,2024-03-26
158,118,15,1,716,2024-03-07
159,112,12,4,509,2024-03-18
160,105,8,5,750,2024-03-31
161,106,17,5,96,2024-03-09
162,107,8,1,718,2024-03-19
163,116,17,1,562,2024-03-15
164,115,18,3,506,2024-03-23
165,106,9,2,402,2024-03-26
166,106,3,4,933,2024-03-15
167,109,16,2,766,2024-03-10
168,112,16,2,543,2024-03-10
169,118,2,3,939,2024-03-18
170,106,2,5,713,2024-03-19
171,118,6,5,561,2024-03-03
172,102,10,4,254,2024-03-17
173,120,6,3,371,2024-03-19
174,113,4,3,260,2024-03-18
175,120,19,3,13,2024-03-23
176,111,17,5,988,2024-03-19
177,117,3,5,106,2024-03-16
178,107,17,2,553,2024-03-22
179,104,10,3,57,2024-03-01
180,110,12,2,289,2024-03-14
181,119,10,5,143,2024-03-08
182,102,6,2,467,2024-03-02
183,112,16,1,92,2024-03-21
184,120,14,2,531,2024-03-28
185,102,10,4,66,2024-03-11
186,106,12,3,413,2024-03-13
187,111,13,5,633,2024-03-13
188,106,9,5,954,2024-03-12
189,114,15,2,771,2024-03-30
190,117,5,5,628,2024-03-25
191,116,3,1,559,2024-03-07
192,112,19,2,263,2024-03-17
193,118,3,1,479,2024-03-22
194,114,10,2,659,2024-03-16
195,113,20,3,180,2024-03-14
196,101,18,2,994,2024-03-23
197,108,14,3,339,2024-03-16
198,116,17,1,746,2024-03-14
199,120,5,5,731,2024-03-08
200,117,19,4,404,2024-03-27
201,117,20,5,327,2024-03-07
202,107,6,1,488,2024-03-13
203,106,8,1,80,2024-03-15
204,105,16,2,674,2024-03-01
205,109,18,3,674,2024-03-02
206,110,7,3,117,2024-03-20
207,120,1,3,157,2024-03-25
208,116,13,3,235,2024-03-29
209,108,5,2,278,2024-03-25
210,111,16,5,946,2024-03-15
211,105,3,3,191,2024-03-28
212,117,17,4,846,2024-03-02
213,120,11,1,328,2024-03-22
214,104,19,4,491,2024-03-02
215,120,12,4,908,2024-03-16
216,120,16,1,316,2024-03-02
217,107,2,5,47,2024-03-11
218,120,18,3,821,2024-03-15
219,106,11,2,791,2024-03-26
220,117,9,2,622,2024-03-12
221,109,9,2,326,2024-03-07
222,114,17,1,226,2024-03-28
223,107,20,1,18,2024-03-16
224,118,8,5,289,2024-03-13
225,120,10,2,954,2024-03-02
226,105,16,5,707,2024-03-16
227,104,6,3,794,2024-03-23
228,111,1,4,670,2024-03-07
229,112,14,1,682,2024-03-27
230,108,7,5,15,2024-03-14
231,112,20,2,387,2024-03-23
232,105,8,2,292,2024-03-10
233,111,16,5,232,2024-03-26
234,109,5,1,489,2024-03-17
235,101,13,4,742,2024-03-03
236,114,16,3,54,2024-03-18
237,114,4,1,545,2024-03-11
238,115,15,3,80,2024-03-25
239,110,3,3,675,2024-03-09
240,108,17,3,410,2024-03-15
241,107,19,4,144,2024-03-09
242,110,2,5,57,2024-03-25
243,115,14,1,974,2024-03-28
244,102,10,1,13,2024-03-18
245,119,5,2,133,2024-03-29
246,111,4,3,52,2024-03-06
247,111,5,4,413,2024-03-29
248,103,3,4,220,2024-03-07
249,101,14,1,142,2024-03-13
250,114,15,3,416,2024-03-16
251,107,6,4,741,2024-03-20
252,106,5,3,242,2024-03-24
253,112,2,3,193,2024-03-21
254,103,11,1,540,2024-03-15
255,102,7,1,192,2024-03-01
256,104,14,5,262,2024-03-01
257,116,15,5,204,2024-03-12
258,113,4,2,934,2024-03-16
259,109,2,2,72,2024-03-12
260,112,10,2,611,2024-03-01
261,117,12,2,402,2024-03-10
262,105,3,3,191,2024-03-30
263,103,20,5,342,2024-03-31
264,112,15,4,300,2024-03-07
265,117,15,2,664,2024-03-09
266,109,5,2,652,2024-03-18
267,111,3,2,117,2024-03-11
268,106,18,2,154,2024-03-09
269,113,6,4,590,2024-03-23
270,117,7,2,52,2024-03-26
271,115,9,3,97,2024-03-25
272,102,20,5,671,2024-03-17
273,101,9,3,266,2024-03-11
274,107,14,5,388,2024-03-30
275,108,8,2,491,2024-03-28
276,111,4,2,219,2024-03-12
277,111,8,1,720,2024-03-17
278,112,13,2,358,2024-03-07
279,107,4,4,100,2024-03-27
280,117,13,1,838,2024-03-13
281,109,14,2,246,2024-03-03
282,103,1,3,589,2024-03-21
283,106,16,1,739,2024-03-29
284,111,11,3,969,2024-03-02
285,119,6,4,232,2024-03-07
286,103,19,5,32,2024-03-03
287,116,10,4,318,2024-03-09
288,118,20,3,280,2024-03-08
289,112,9,2,85,2024-03-12
290,110,1,2,46,2024-03-11
291,119,9,1,742,2024-03-01
292,102,5,1,561,2024-03-24
293,112,1,1,326,2024-03-28
294,104,11,3,189,2024-03-11
295,116,15,2,551,2024-03-23
296,115,5,1,305,2024-03-23
297,114,4,2,548,2024-03-29
298,119,14,1,541,2024-03-07
299,113,11,1,192,2024-03-16
300,120,20,2,29,2024-03-06
